client,age,education,emploi,categorie,adresse,revenus,debcred,debcarte,autres,defaut
1201,49,Niveau bac,8,12,17,28.9,11.8,0.562683,2.847517,Non
1202,34,Niveau bac,1,12,5,21.3,6.46,0.67973412,0.69624588,Non
1203,26,Niveau bac,9,12,3,36.4,15.82,1.93484928,3.82363072,Non
1204,25,Niveau bac,8,12,2,25.3,9.01,0.12537415,2.15415585,Non
1205,55,Bac+5 et plus,11,12,16,88.0,12.9,5.1084,6.2436,Non
1206,42,Niveau bac,12,12,16,45.9,30.03,3.23918595,10.54458405,Non
1207,29,Bac+2,3,12,10,26.0,19.54,1.5037984,3.5766016,Oui
1208,24,Bac+2,4,12,4,29.1,3.7,0.4715946,0.6051054,Non
1209,40,Bac+2,20,12,999,107.5,9.25,1.32251875,8.62123125,Non
1210,33,Niveau bac,3,12,8,26.8,4.12,0.19764464,0.90651536,Non
1211,37,Niveau bac,0,12,8,36.0,16.1,1.988028,3.807972,Oui
1212,999,Niveau bac,4,12,7,30.3,11.37,0.95085036,2.49425964,Non
1213,55,Bac+3,34,12,16,150.0,9.9,0.72765,14.12235,Non
1214,27,Bac+4,1,12,999,19.4,4.77,0.28501704,0.64036296,Non
1215,39,Niveau bac,8,12,9,41.0,0.1,0.026896,0.014104,Non
1216,31,Niveau bac,1,12,11,15.5,18.4,1.856652,0.995348,Oui
1217,43,Niveau bac,11,12,8,35.0,5.51,0.4956245,1.4328755,Non
1218,47,Bac+2,18,12,3,160.0,5.15,3.78216,4.45784,Non
1219,34,Niveau bac,2,12,5,14.9,6.57,0.08516691,0.89376309,Non
1220,29,Niveau bac,4,12,1,20.1,11.09,0.75120333,1.47788667,Non
1221,26,Niveau bac,9,12,4,28.0,19.07,2.0183688,3.3212312,Non
1222,55,Niveau bac,24,12,16,110.7,12.97,7.27939953,7.07839047,Non
1223,23,Bac+3,0,12,2,25.0,4.2,0.15855,0.89145,Non
1224,37,Bac+3,13,12,12,65.1,6.58,1.1779845,3.1055955,Non
1225,999,Niveau bac,2,12,1,28.2,8.39,0.66957234,1.69640766,Non
1226,37,Bac+5 et plus,1,12,10,90.0,1.8,0.25434,1.36566,Non
1227,32,Bac+3,4,12,999,27.4,1.57,0.04344818,0.38673182,Non
1228,31,Niveau bac,9,12,8,37.5,16.22,1.82475,4.25775,Non
1229,49,Bac+2,30,12,999,96.6,15.12,3.40317936,11.20274064,Non
1230,999,Niveau bac,9,12,12,30.2,2.14,0.13054856,0.51573144,Non
1231,45,Bac+2,3,12,999,25.5,11.39,0.5402277,2.3642223,Non
1232,33,Niveau bac,2,12,9,15.7,12.24,0.78404544,1.13763456,Non
1233,50,Bac+4,25,12,24,341.9,9.45,6.81731505,25.49223495,Non
1234,45,Bac+2,1,12,16,20.9,7.61,0.76661618,0.82387382,Non
1235,36,Bac+2,4,12,9,57.0,4.2,0.69426,1.69974,Oui
1236,34,Bac+2,2,12,0,38.1,3.56,0.21566124,1.14069876,Non
1237,999,Niveau bac,6,12,10,30.2,3.61,0.2125929,0.8776271,Non
1238,33,Bac+3,0,12,9,28.8,10.74,1.85896512,1.23415488,Oui
1239,44,Niveau bac,18,12,22,66.2,19.53,2.01690216,10.91195784,Non
1240,53,Bac+3,31,12,18,120.0,9,1.6956,9.1044,Non
1241,33,Bac+4,3,12,999,34.3,10.95,1.9830888,1.7727612,Non
1242,24,Bac+2,1,12,0,17.4,13.04,0.27908208,1.98987792,Non
1243,45,Bac+2,11,12,0,60.9,6.22,0.85608348,2.93189652,Oui
1244,31,Niveau bac,1,12,9,18.9,14.65,1.273671,1.495179,Non
1245,25,Bac+2,3,12,2,23.0,5,0.27945,0.87055,Non
1246,27,Niveau bac,0,12,999,16.0,3.95,0.1738,0.4582,Non
1247,33,Bac+5 et plus,7,12,13,32.2,3.46,0.14037912,0.97374088,Non
1248,22,Bac+2,1,12,2,24.0,16.1,0.795984,3.068016,Non
1249,26,Niveau bac,0,12,7,13.3,16.95,1.3165404,0.9378096,Non
1250,18,Bac+2,0,12,0,22.0,3.4,0.37026,0.37774,Oui
1251,24,Niveau bac,1,12,5,20.4,5.79,0.13819572,1.04296428,Oui
1252,30,Bac+3,5,12,2,22.3,2.89,0.23780943,0.40666057,Non
1253,43,Bac+2,7,12,7,27.5,4.48,0.804496,0.427504,Non
1254,29,Bac+3,6,12,3,28.0,4.9,0.56938,0.80262,Oui
1255,44,Niveau bac,16,12,16,96.3,1.24,0.1373238,1.0567962,Non
1256,49,Bac+2,13,12,8,88.7,4.78,0.21623286,4.02362714,Non
1257,999,Niveau bac,6,12,20,34.0,3.66,0.5313588,0.7130412,Non
1258,999,Bac+3,3,12,12,38.5,4.61,0.2413796,1.5334704,Non
1259,18,Bac+2,0,12,0,20.0,16.7,0.46426,2.87574,Oui
1260,43,Bac+3,21,12,14,125.0,11.5,6.325,8.05,Non
1261,39,Niveau bac,6,12,9,41.4,6.1,1.3788684,1.1465316,Non
1262,35,Bac+3,3,12,7,54.0,11,1.16424,4.77576,Non
1263,27,Bac+2,6,12,1,37.3,8.27,0.12955782,2.95515218,Oui
1264,30,Bac+4,2,12,5,53.5,5.76,0.8381952,2.2434048,Oui
1265,999,Bac+3,0,12,1,36.1,13.69,2.04602526,2.89606474,Non
1266,39,Niveau bac,20,12,10,52.0,19.7,2.325388,7.918612,Non
1267,28,Niveau bac,6,12,0,18.9,5.71,0.23526342,0.84392658,Oui
1268,38,Niveau bac,7,12,17,43.0,14.81,1.1590306,5.2092694,Non
1269,32,Niveau bac,12,12,7,29.9,10.21,2.0453693,1.0074207,Non
1270,25,Niveau bac,3,12,999,29.5,10.37,1.1747136,1.8844364,Oui
1271,27,Niveau bac,2,12,2,21.9,19.26,1.84745772,2.37048228,Oui
1272,999,Bac+5 et plus,0,12,4,57.0,12.4,4.52352,2.54448,Oui
1273,21,Niveau bac,1,12,0,17.6,7.93,0.5512936,0.8443864,Oui
1274,27,Bac+4,2,12,3,34.0,11.4,2.158932,1.717068,Non
1275,31,Niveau bac,2,12,4,22.2,17.91,0.70773156,3.26828844,Non
1276,32,Bac+2,0,12,4,35.0,18.1,1.1403,5.1947,Oui
1277,32,Niveau bac,6,12,10,22.5,10.8,1.64511,0.78489,Non
1278,46,Bac+4,14,12,4,125.4,25.97,17.911509,14.654871,Oui
1279,42,Bac+3,20,12,22,147.9,7.65,3.1227606,8.1915894,Non
1280,29,Bac+2,1,12,10,39.0,19.55,2.516085,5.108415,Non
1281,25,Bac+2,0,12,0,42.2,2.96,0.5683496,0.6807704,Non
1282,48,Niveau bac,12,12,8,65.5,7.82,2.6276373,2.4944627,Non
1283,40,Bac+2,14,12,19,175.8,4.36,3.34955256,4.31532744,Non
1284,999,Bac+3,30,12,14,167.0,1.4,0.458248,1.879752,Non
1285,50,Bac+3,12,12,7,37.1,22,1.79564,6.36636,Oui
1286,32,Bac+4,7,12,6,71.0,19.5,4.12581,9.71919,Oui
1287,30,Niveau bac,0,12,0,20.3,7.86,0.718011,0.877569,Oui
1288,42,Niveau bac,6,12,18,42.4,16.88,2.04693632,5.11018368,Non
1289,39,Niveau bac,9,12,9,43.6,10.2,2.4192768,2.0279232,Non
1290,24,Niveau bac,3,12,5,15.3,11.67,0.63385605,1.15165395,Non
1291,28,Bac+2,8,12,4,40.0,9.8,1.36024,2.55976,Oui
1292,55,Niveau bac,36,12,35,199.7,5.67,6.04647666,5.27651334,Non
1293,29,Bac+2,7,12,999,49.4,14.02,0.59562568,6.33025432,Non
1294,31,Bac+2,0,12,7,22.2,2.24,0.08105664,0.41622336,Non
1295,999,Bac+3,18,12,13,54.0,4.2,0.821016,1.446984,Non
1296,27,Niveau bac,7,12,2,21.8,30.15,1.3868397,5.1858603,Oui
